	rets	annret	annrtnz	stdz	std	sharpez	sharpe	sharpenz
CB	-0.108	-0.125	-0.451	0.098	0.207	-1.266	-0.601	-2.172
BHI	0.023	0.027	3.314	0.025	0.166	1.061	0.164	19.853
LMT	0.081	0.095	2.18	0.072	0.249	1.315	0.382	8.748
C	-0.064	-0.075	-0.49	0.11	0.324	-0.679	-0.231	-1.513
BBY	-0.013	-0.015	-0.098	0.105	0.27	-0.149	-0.058	-0.364
BA	0.032	0.037	0.495	0.086	0.285	0.437	0.133	1.736
NTRS	0.039	0.045	0.711	0.055	0.189	0.827	0.241	3.754
WFC	0.001	0.002	0.012	0.11	0.267	0.018	0.007	0.045
SCHW	0.051	0.06	0.692	0.119	0.357	0.504	0.168	1.936
URI	0.088	0.104	71.892	0.068	0.361	1.521	0.288	199.089
CHK	-0.074	-0.086	-0.979	0.069	0.393	-1.24	-0.218	-2.487
CCE	0.099	0.116	1.419	0.081	0.225	1.428	0.516	6.284
SPLS	0.075	0.088	1.929	0.092	0.325	0.948	0.27	5.921
JNJ	-0.025	-0.029	-0.279	0.074	0.243	-0.403	-0.122	-1.145
CAT	0.002	0.002	0.057	0.032	0.158	0.073	0.014	0.366
MCK	0.037	0.043	0.666	0.05	0.173	0.859	0.25	3.848
BF-B	-0.132	-0.152	-0.709	0.079	0.206	-1.915	-0.738	-3.429
MHK	0.048	0.056	1.679	0.093	0.392	0.602	0.143	4.278
DE	-0.029	-0.034	-0.229	0.125	0.345	-0.272	-0.099	-0.663
HCP	-0.01	-0.012	-0.075	0.092	0.231	-0.136	-0.054	-0.327
CTXS	0.069	0.081	1.239	0.093	0.296	0.871	0.274	4.176
COG	0.065	0.077	2.812	0.039	0.148	1.93	0.518	18.895
CAM	-0.015	-0.017	-0.191	0.111	0.386	-0.157	-0.045	-0.494
LOW	0.128	0.151	3.255	0.08	0.242	1.887	0.623	13.436
EXPE	0.097	0.114	2.989	0.117	0.411	0.979	0.279	7.274
BBBY	0.037	0.044	0.863	0.056	0.211	0.781	0.208	4.079
DVN	-0.12	-0.138	-0.784	0.095	0.295	-1.445	-0.468	-2.651
VTR	-0.089	-0.103	-0.421	0.109	0.244	-0.944	-0.422	-1.725
BDX	0.004	0.004	0.033	0.087	0.232	0.053	0.02	0.142
BCR	0.039	0.045	0.766	0.086	0.307	0.529	0.148	2.492
MMC	0.017	0.02	0.199	0.053	0.161	0.381	0.126	1.241
COST	0.037	0.043	0.587	0.073	0.239	0.596	0.182	2.448
FLIR	0.028	0.033	2.274	0.019	0.092	1.698	0.36	24.5
ADM	-0.084	-0.097	-0.866	0.066	0.27	-1.464	-0.36	-3.206
ROK	0.05	0.058	1.593	0.046	0.179	1.28	0.329	8.895
FITB	0.058	0.068	1.778	0.103	0.404	0.658	0.169	4.397
PNW	-0.021	-0.024	-0.164	0.094	0.254	-0.26	-0.096	-0.645
BAX	-0.092	-0.106	-0.44	0.099	0.223	-1.077	-0.477	-1.97
ENDP	0.058	0.067	2.267	0.101	0.427	0.667	0.159	5.309
LB	-0.006	-0.007	-0.067	0.094	0.286	-0.081	-0.027	-0.236
CMCSA	0.024	0.028	0.153	0.112	0.256	0.249	0.109	0.598
SJM	0.01	0.011	0.118	0.058	0.179	0.205	0.066	0.659
TWC	0.043	0.05	2.295	0.043	0.202	1.161	0.251	11.347
MET	0.019	0.022	9.87	0.016	0.076	1.382	0.293	129.694
GE	-0.079	-0.091	-0.611	0.059	0.177	-1.552	-0.516	-3.441
LM	0.035	0.041	0.733	0.041	0.149	1.001	0.278	4.911
KSS	0.014	0.016	1.019	0.041	0.269	0.396	0.06	3.788
MRO	-0.029	-0.034	-0.608	0.113	0.589	-0.301	-0.057	-1.032
PEG	0.003	0.004	0.027	0.094	0.237	0.046	0.018	0.116
MAT	-0.116	-0.134	-0.968	0.107	0.488	-1.25	-0.275	-1.983
PRGO	0.007	0.008	0.143	0.075	0.298	0.115	0.029	0.481
MNST	0.061	0.072	0.829	0.112	0.329	0.645	0.219	2.52
APA	0.000	0.000	0.0	0.108	0.349	0.0	0.0	0.002
SNA	0.032	0.038	0.384	0.084	0.247	0.456	0.155	1.556
GS	-0.006	-0.007	-0.055	0.058	0.165	-0.121	-0.042	-0.334
PLD	-0.029	-0.034	-0.161	0.112	0.254	-0.305	-0.135	-0.636
BSX	0.007	0.008	0.203	0.053	0.25	0.16	0.034	0.812
COL	0.05	0.059	1.085	0.046	0.159	1.284	0.373	6.801
HOT	-0.004	-0.005	-0.037	0.094	0.246	-0.059	-0.022	-0.15
TROW	0.006	0.007	0.063	0.05	0.15	0.139	0.047	0.419
MDLZ	0.001	0.002	0.029	0.078	0.28	0.029	0.008	0.104
PXD	0.095	0.112	1.845	0.127	0.395	0.881	0.284	4.666
MHFI	0.031	0.036	3.707	0.015	0.03	2.372	1.182	120.172
SO	-0.015	-0.018	-0.153	0.079	0.24	-0.229	-0.076	-0.636
EXR	0.141	0.167	9.871	0.071	0.241	2.327	0.691	40.835
NSC	-0.003	-0.004	-0.058	0.045	0.172	-0.092	-0.024	-0.34
TRV	-0.062	-0.072	-0.283	0.094	0.198	-0.767	-0.365	-1.423
HIG	0.069	0.081	0.971	0.119	0.351	0.68	0.232	2.762
KMB	-0.108	-0.125	-0.453	0.1	0.211	-1.252	-0.594	-2.146
CVS	0.002	0.002	0.013	0.093	0.204	0.03	0.013	0.066
ED	0.013	0.015	0.105	0.08	0.205	0.191	0.074	0.51
FOX	-0.098	-0.113	-0.647	0.075	0.215	-1.498	-0.526	-3.0
DOW	-0.048	-0.056	-0.433	0.09	0.283	-0.62	-0.198	-1.529
MS	0.067	0.079	1.282	0.079	0.257	0.997	0.308	4.98
RSG	0.009	0.011	0.057	0.098	0.215	0.118	0.053	0.264
PH	0.02	0.023	1.065	0.044	0.243	0.534	0.097	4.374
EXPD	0.07	0.082	1.584	0.049	0.162	1.663	0.507	9.779
BLK	0.035	0.041	0.627	0.054	0.188	0.755	0.219	3.333
ESS	0.138	0.163	1.311	0.089	0.205	1.826	0.794	6.382
STZ	0.051	0.06	0.777	0.082	0.255	0.735	0.235	3.041
HRB	0.106	0.125	11.906	0.1	0.44	1.246	0.284	26.999
AVB	0.116	0.137	0.942	0.078	0.174	1.758	0.79	5.406
STJ	0.069	0.081	68.667	0.096	0.652	0.849	0.125	105.25
CERN	-0.081	-0.094	-0.392	0.082	0.183	-1.142	-0.512	-2.132
FDX	-0.017	-0.02	-0.232	0.048	0.173	-0.422	-0.118	-1.337
MMM	-0.03	-0.035	-0.512	0.033	0.143	-1.07	-0.251	-3.585
MAS	-0.006	-0.007	-0.058	0.102	0.284	-0.076	-0.027	-0.206
PGR	0.0	0.0	0.01	0.083	0.306	0.009	0.002	0.034
COH	-0.023	-0.027	-0.524	0.038	0.195	-0.707	-0.138	-2.684
JWN	0.132	0.156	2.904	0.089	0.263	1.74	0.593	11.039
OMC	-0.025	-0.029	-0.299	0.051	0.177	-0.569	-0.164	-1.688
ATVI	0.055	0.064	5.903	0.053	0.272	1.205	0.236	21.642
USB	-0.02	-0.023	-0.439	0.084	0.414	-0.281	-0.057	-1.059
CVC	-0.03	-0.035	-0.183	0.126	0.299	-0.284	-0.12	-0.614
AZO	0.046	0.054	1.262	0.051	0.196	1.055	0.276	6.419
NEE	0.005	0.005	0.054	0.087	0.262	0.068	0.022	0.208
NEM	-0.08	-0.093	-0.572	0.137	0.404	-0.679	-0.231	-1.414
DRI	-0.035	-0.041	-0.225	0.101	0.25	-0.409	-0.166	-0.9
SPG	0.09	0.106	0.943	0.073	0.185	1.45	0.576	5.097
XRAY	-0.007	-0.009	-0.077	0.075	0.224	-0.122	-0.041	-0.344
AGN	0.037	0.043	0.428	0.121	0.351	0.36	0.124	1.218
GWW	0.022	0.026	0.87	0.047	0.229	0.557	0.114	3.786
PVH	0.007	0.008	0.289	0.047	0.266	0.172	0.031	1.087
TJX	0.132	0.155	16.23	0.06	0.2	2.593	0.776	80.852
OXY	0.062	0.072	0.992	0.081	0.253	0.891	0.287	3.92
CAG	-0.041	-0.047	-0.394	0.077	0.249	-0.611	-0.191	-1.583
VIAB	-0.03	-0.035	-0.218	0.084	0.22	-0.424	-0.162	-0.992
GIS	0.023	0.027	0.339	0.07	0.23	0.39	0.118	1.469
DUK	-0.023	-0.026	-0.178	0.068	0.183	-0.394	-0.146	-0.972
NBL	-0.004	-0.005	-0.085	0.102	0.404	-0.056	-0.014	-0.212
A	0.019	0.022	0.996	0.024	0.13	0.917	0.173	7.624
XOM	-0.036	-0.042	-0.363	0.055	0.176	-0.774	-0.242	-2.056
VMC	0.11	0.13	10.111	0.088	0.361	1.481	0.361	28.01
PWR	0.036	0.043	0.576	0.085	0.28	0.502	0.153	2.051
CMG	-0.139	-0.161	-0.729	0.118	0.316	-1.359	-0.508	-2.305
ZION	0.037	0.043	9.128	0.048	0.323	0.907	0.135	28.194
MCD	0.063	0.074	1.811	0.065	0.242	1.131	0.307	7.479
CL	-0.035	-0.041	-0.264	0.109	0.293	-0.383	-0.142	-0.901
IVZ	0.047	0.055	3.326	0.042	0.201	1.311	0.276	16.486
CMS	0.145	0.171	1.741	0.089	0.219	1.914	0.783	7.936
AAL	0.042	0.05	2.238	0.075	0.361	0.668	0.138	6.199
CTL	0.056	0.066	1.698	0.069	0.267	0.954	0.248	6.354
CTSH	0.073	0.086	2.058	0.075	0.269	1.142	0.319	7.626
SHW	0.115	0.136	1.03	0.106	0.248	1.277	0.547	4.141
VZ	0.016	0.018	0.134	0.073	0.192	0.254	0.097	0.695
ECL	-0.021	-0.024	-0.193	0.058	0.173	-0.417	-0.141	-1.115
ADSK	-0.14	-0.162	-0.796	0.116	0.339	-1.388	-0.476	-2.343
ETN	0.005	0.006	0.097	0.048	0.186	0.132	0.034	0.525
GILD	0.072	0.085	1.155	0.078	0.238	1.079	0.357	4.851
NOV	0.044	0.051	3.755	0.043	0.22	1.197	0.235	17.036
COF	0.072	0.084	1.226	0.056	0.17	1.503	0.496	7.176
FAST	0.022	0.026	1.026	0.05	0.261	0.521	0.101	3.929
HBAN	0.088	0.103	1.088	0.101	0.275	1.019	0.376	3.949
KMX	0.095	0.112	45.899	0.06	0.268	1.878	0.42	171.209
THC	0.019	0.023	0.22	0.124	0.366	0.187	0.063	0.599
LLL	-0.066	-0.077	-0.58	0.082	0.266	-0.941	-0.29	-2.18
COP	0.026	0.03	0.389	0.093	0.308	0.33	0.1	1.265
MOS	0.106	0.125	2.044	0.12	0.365	1.04	0.344	5.592
KEY	0.151	0.178	6.208	0.111	0.369	1.597	0.484	16.801
CAH	0.001	0.001	0.018	0.073	0.227	0.026	0.008	0.082
T	0.02	0.023	0.185	0.051	0.138	0.462	0.172	1.335
GPS	0.034	0.04	4.557	0.037	0.225	1.067	0.179	20.208
SYY	0.094	0.111	1.04	0.11	0.285	1.007	0.39	3.646
PPG	-0.109	-0.126	-0.717	0.082	0.241	-1.534	-0.52	-2.967
XEL	0.011	0.013	0.129	0.077	0.238	0.168	0.054	0.542
PX	0.018	0.021	0.313	0.04	0.143	0.535	0.15	2.178
TAP	-0.112	-0.129	-0.671	0.164	0.462	-0.79	-0.28	-1.451
MYL	0.26	0.31	9.333	0.113	0.303	2.737	1.023	30.789
CHRW	0.215	0.255	14.29	0.101	0.31	2.514	0.821	46.052
GGP	0.037	0.043	0.24	0.106	0.239	0.411	0.182	1.004
VLO	-0.0	-0.0	-0.002	0.077	0.332	-0.001	-0.0	-0.007
CNX	0.163	0.193	17.956	0.099	0.364	1.942	0.531	49.323
CBS	-0.158	-0.181	-0.776	0.097	0.252	-1.873	-0.721	-3.078
APC	-0.062	-0.072	-0.618	0.087	0.307	-0.836	-0.237	-2.011
O	0.074	0.086	1.268	0.069	0.212	1.252	0.408	5.963
KSU	0.031	0.037	0.835	0.077	0.314	0.48	0.118	2.655
HAL	0.054	0.063	1.427	0.085	0.32	0.744	0.198	4.46
PBI	0.001	0.001	0.143	0.002	0.021	0.556	0.057	6.604
ETFC	0.073	0.085	33.876	0.042	0.169	2.015	0.505	199.956
RL	-0.018	-0.021	-0.199	0.053	0.171	-0.401	-0.124	-1.164
CI	-0.03	-0.035	-0.246	0.097	0.27	-0.37	-0.132	-0.91
WEC	0.059	0.069	1.146	0.07	0.234	0.984	0.296	4.893
ABT	-0.15	-0.173	-0.54	0.145	0.292	-1.19	-0.592	-1.844
ETR	-0.021	-0.025	-0.291	0.07	0.26	-0.356	-0.096	-1.119
UNH	0.15	0.177	2.532	0.109	0.295	1.622	0.6	8.567
GLW	0.064	0.076	6.244	0.058	0.277	1.305	0.274	22.523
WY	0.003	0.004	0.064	0.042	0.165	0.096	0.024	0.387
UPS	0.009	0.011	0.172	0.047	0.179	0.235	0.061	0.962
AES	0.024	0.028	0.382	0.064	0.216	0.45	0.133	1.77
JPM	-0.006	-0.007	-0.085	0.093	0.326	-0.078	-0.022	-0.261
PFG	-0.026	-0.03	-0.195	0.127	0.337	-0.241	-0.091	-0.58
GPC	-0.012	-0.014	-0.165	0.063	0.226	-0.223	-0.062	-0.73
HAS	-0.056	-0.065	-0.375	0.118	0.312	-0.553	-0.209	-1.203
GT	-0.02	-0.023	-0.823	0.038	0.313	-0.614	-0.075	-2.629
HES	0.051	0.059	1.623	0.081	0.326	0.735	0.182	4.968
DO	0.074	0.087	6.544	0.056	0.245	1.564	0.358	26.688
DGX	-0.02	-0.023	-0.187	0.093	0.275	-0.255	-0.086	-0.682
MON	-0.012	-0.014	-0.107	0.042	0.118	-0.343	-0.123	-0.906
GME	0.02	0.023	0.434	0.084	0.332	0.279	0.071	1.307
AA	0.154	0.182	19.611	0.104	0.4	1.756	0.456	48.947
MDT	-0.047	-0.054	-0.3	0.106	0.269	-0.511	-0.202	-1.112
ADI	-0.001	-0.001	-0.014	0.061	0.198	-0.022	-0.007	-0.072
ABC	0.038	0.044	2.275	0.048	0.242	0.922	0.185	9.379
PCAR	0.134	0.158	22.899	0.079	0.313	1.989	0.505	73.125
NI	0.063	0.074	0.81	0.087	0.25	0.848	0.296	3.243
EL	-0.093	-0.108	-0.539	0.097	0.249	-1.115	-0.433	-2.158
FCX	0.013	0.015	0.104	0.207	0.526	0.075	0.029	0.198
LUK	0.046	0.054	9.042	0.047	0.275	1.161	0.199	32.871
TGT	0.117	0.138	3.761	0.066	0.21	2.09	0.66	17.885
PDCO	0.021	0.024	0.149	0.1	0.24	0.246	0.103	0.621
ITW	-0.022	-0.026	-0.32	0.042	0.159	-0.627	-0.166	-2.013
MTB	-0.032	-0.037	-0.29	0.119	0.359	-0.313	-0.104	-0.808
CCI	-0.025	-0.029	-0.212	0.068	0.194	-0.428	-0.151	-1.091
RF	-0.005	-0.005	-0.094	0.088	0.362	-0.067	-0.016	-0.26
RAI	0.044	0.052	0.441	0.086	0.232	0.6	0.223	1.896
SEE	0.088	0.103	7.409	0.069	0.297	1.482	0.348	24.926
JBHT	0.088	0.103	3.602	0.058	0.211	1.77	0.491	17.037
WM	0.092	0.109	0.831	0.078	0.187	1.387	0.581	4.431
BLL	0.058	0.068	0.732	0.087	0.25	0.782	0.272	2.922
LEG	0.055	0.064	0.85	0.05	0.153	1.29	0.422	5.55
AVY	-0.055	-0.064	-0.382	0.081	0.217	-0.794	-0.296	-1.754
XL	-0.009	-0.01	-0.095	0.081	0.249	-0.13	-0.042	-0.38
EW	0.029	0.034	0.358	0.096	0.289	0.359	0.119	1.238
ROST	0.087	0.103	1.419	0.095	0.283	1.076	0.363	5.008
LEN	0.005	0.006	0.081	0.082	0.293	0.075	0.021	0.276
